Crashhour,School catchment context,count
0,Inside 1-mile school catchment,86
0,Outside 1-mile school catchment,21
1,Inside 1-mile school catchment,76
1,Outside 1-mile school catchment,15
2,Inside 1-mile school catchment,56
2,Outside 1-mile school catchment,10
3,Inside 1-mile school catchment,35
3,Outside 1-mile school catchment,12
4,Inside 1-mile school catchment,52
4,Outside 1-mile school catchment,11
5,Inside 1-mile school catchment,61
5,Outside 1-mile school catchment,20
6,Inside 1-mile school catchment,110
6,Outside 1-mile school catchment,43
7,Inside 1-mile school catchment,252
7,Outside 1-mile school catchment,39
8,Inside 1-mile school catchment,281
8,Outside 1-mile school catchment,41
9,Inside 1-mile school catchment,219
9,Outside 1-mile school catchment,39
10,Inside 1-mile school catchment,207
10,Outside 1-mile school catchment,47
11,Inside 1-mile school catchment,220
11,Outside 1-mile school catchment,52
12,Inside 1-mile school catchment,286
12,Outside 1-mile school catchment,66
13,Inside 1-mile school catchment,283
13,Outside 1-mile school catchment,59
14,Inside 1-mile school catchment,391
14,Outside 1-mile school catchment,64
15,Inside 1-mile school catchment,469
15,Outside 1-mile school catchment,64
16,Inside 1-mile school catchment,495
16,Outside 1-mile school catchment,88
17,Inside 1-mile school catchment,513
17,Outside 1-mile school catchment,98
18,Inside 1-mile school catchment,438
18,Outside 1-mile school catchment,68
19,Inside 1-mile school catchment,383
19,Outside 1-mile school catchment,64
20,Inside 1-mile school catchment,309
20,Outside 1-mile school catchment,55
21,Inside 1-mile school catchment,282
21,Outside 1-mile school catchment,67
22,Inside 1-mile school catchment,159
22,Outside 1-mile school catchment,37
23,Inside 1-mile school catchment,141
23,Outside 1-mile school catchment,31
